"pos","pick","fitted_cost","n_cost","mean_cost","last_cost","var_cost","range_cost","fitted_points","last_points","n_points","mean_points","var_points","range_points","cluster","mean_cluster_cost","range_cluster_cost","mean_cluster_points","range_cluster_points","range_cluster_picks"
"QB",1,98.417433698842,3,96.7,103,86.3,"86, 103",20.0070125983715,18.6964705882353,5,19.9,2.3,"17.9, 21.3",4,96,"91, 98",20.1,"19.8, 20.5","1, 3"
"QB",2,97.8218387814475,4,99.5,106,206.3,"78, 108",20.5036245578593,18.78375,5,20.4,12.3,"17.3, 26.1",4,96,"91, 98",20.1,"19.8, 20.5","1, 3"
"QB",3,91.1772183002909,3,96,109,283,"77, 109",19.7951212758741,21.1888888888889,5,21.4,5.9,"17.6, 24.1",4,96,"91, 98",20.1,"19.8, 20.5","1, 3"
"QB",4,77.7011516259169,4,78.2,75,111.6,"68, 93",18.6324179147608,15.34,5,16.4,2,"15.3, 18.7",2,78,"78, 78",18.6,"18.6, 18.6","4, 4"
"QB",5,62.8686293352307,2,56,76,800,"36, 76",18.1483635053681,20.4484210526316,5,19.8,12.3,"15.1, 24.8",1,58,"54, 63",17,"15.6, 18.1","5, 8"
"QB",6,55.7028423216624,5,58.6,68,310.3,"39, 75",18.1417007966714,18.6684210526316,5,17.4,2.4,"15.5, 19.2",1,58,"54, 63",17,"15.6, 18.1","5, 8"
"QB",7,58.1938836507996,3,52,58,252,"34, 64",16.1735868679552,17.62125,5,16.5,1.3,"15, 17.6",1,58,"54, 63",17,"15.6, 18.1","5, 8"
"QB",8,54.1175432033202,4,60.8,88,574.2,"34, 88",15.5984019128817,14.66,5,15.1,1.8,"14.1, 17.1",1,58,"54, 63",17,"15.6, 18.1","5, 8"
"QB",9,46.1746974683869,3,40,39,507,"18, 63",15.7022518275773,16.2426666666667,5,15.9,17.3,"8.8, 19.1",3,44,"38, 46",15.4,"14.6, 15.9","9, 12"
"QB",10,45.419082137171,4,43.5,64,381.7,"17, 64",15.8777486267268,17.7364705882353,5,15.9,2.4,"14.4, 17.7",3,44,"38, 46",15.4,"14.6, 15.9","9, 12"
"QB",11,45.7901509650379,4,53,67,375.3,"33, 72",15.2022626436299,17.08375,5,15.2,29.2,"7.3, 21.7",3,44,"38, 46",15.4,"14.6, 15.9","9, 12"
"QB",12,37.8078044106795,2,23,30,98,"16, 30",14.6460403800208,15.67375,5,14.4,2.6,"12.2, 16",3,44,"38, 46",15.4,"14.6, 15.9","9, 12"
"QB",13,33.1578107895039,3,36.3,50,296.3,"17, 50",14.2437062991568,9.61777777777778,5,14.6,10.5,"9.6, 18.2",5,27,"21, 33",14.8,"14.2, 15.4","13, 17"
"QB",14,30.6972392083314,4,33.2,42,451.6,"6, 56",14.4052387097952,16.50625,5,14,22.3,"8.4, 20.4",5,27,"21, 33",14.8,"14.2, 15.4","13, 17"
"QB",15,24.8601593355586,4,20,20,132.7,"7, 35",14.7856115513927,20.1978947368421,5,15.2,14,"10.9, 20.2",5,27,"21, 33",14.8,"14.2, 15.4","13, 17"
"QB",16,23.6104772793329,5,26,28,165.5,"7, 42",15.3603425641437,13.52,5,15.1,3.2,"13.2, 17",5,27,"21, 33",14.8,"14.2, 15.4","13, 17"
"QB",17,20.9830257887558,5,21.2,36,180.7,"4, 36",15.413815730289,18.1988235294118,5,15.5,4.1,"13.4, 18.2",5,27,"21, 33",14.8,"14.2, 15.4","13, 17"
"QB",18,12.785796537069,3,10.7,23,126.3,"1, 23",14.0643238460107,17.2166666666667,5,14.5,13.9,"10.3, 18.1",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",19,11.0941466473825,3,10,18,64,"2, 18",12.2564963187724,10.47,3,10.7,1.7,"9.5, 12.1",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
"QB",20,13.2413956963243,3,16,33,247,"2, 33",12.0792060400565,12.7,3,11.1,2.2,"9.8, 12.7",6,6,"1, 13",13.2,"12.1, 14.5","18, 29"
